"Ticker";"Sector";"Sector_ETF";"Price";"ATR14";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Best_Signal"
"LIN";"Materials";"XLB";497,41;9,818;1,97;NA;"n/a";NA;NA;NA;2;"SKIP";496,42;473,82;552,92;26;60,1;12,8;6;TRUE;0,88;9,4;"SKIP"
"WMT";"ConsumerStaples";"XLP";125,99;2,92;2,32;NA;"n/a";NA;NA;NA;2;"SKIP";125,74;124,36;129,19;14,9;52,4;1,9;2,3;FALSE;1,4;1,4;"SKIP"
"COST";"ConsumerStaples";"XLP";1001,74;19,131;1,91;NA;"n/a";NA;NA;NA;2;"SKIP";999,74;985,72;1034,79;16,4;54,3;0,6;2,6;FALSE;1,09;2,6;"SKIP"
"NTR";"Agriculture";"MOO";77,79;2,863;3,68;NA;"n/a";NA;NA;NA;1;"SKIP";77,63;71,28;93,5;42,7;57,7;-6,9;10,2;TRUE;1,76;13,5;"SKIP"
"ADM";"Agriculture";"MOO";70,75;2,133;3,01;NA;"n/a";NA;NA;NA;1;"SKIP";70,61;67,74;77,79;25;59,4;0,4;5,5;TRUE;1,99;5,3;"SKIP"
"BG";"Agriculture";"MOO";123,62;4,164;3,37;NA;"n/a";NA;NA;NA;1;"SKIP";123,37;116,01;141,77;29;60,8;4,1;7,6;TRUE;2,35;3,6;"SKIP"
"CF";"Agriculture";"MOO";122,33;6,911;5,65;NA;"n/a";NA;NA;NA;1;"SKIP";122,09;97,99;182,34;48,7;63,8;-2,3;26,1;TRUE;1,22;32,6;"SKIP"
"RTX";"Defence";"ITA";206,06;5,33;2,59;NA;"n/a";NA;NA;NA;1;"SKIP";205,65;201,88;215,08;12,9;54,2;-1,7;3,1;TRUE;1,29;3,5;"SKIP"
"APD";"Materials";"XLB";289,16;6,702;2,32;NA;"n/a";NA;NA;NA;1;"SKIP";288,58;276,79;318,05;27;63;13,4;5,5;TRUE;4,07;10,4;"SKIP"
"MU";"Technology";"XLK";441,8;24,658;5,58;NA;"n/a";NA;NA;NA;1;"SKIP";440,92;397,46;549,57;19,9;60,4;8,3;12,3;TRUE;2,65;11;"SKIP"
"JNJ";"Healthcare";"XLV";243,19;4,109;1,69;NA;"n/a";NA;NA;NA;1;"SKIP";242,7;234,7;262,7;17,1;56,8;-1,6;4,7;TRUE;0,95;4;"SKIP"
"CA.PA";"ConsumerStaples";"XLP";15,69;0,324;2,07;NA;"n/a";NA;NA;NA;1;"SKIP";15,66;14,94;17,46;18,5;60,4;11,5;6,1;TRUE;1;4,8;"SKIP"
